"","ID","Fname","Lname","gender","City","FamilyIncome","EdYears","FamilySize","boughtelectronics"
"1",1,"Kendra","Bennett","F","Victoria",26331,10,3,"NO"
"2",2,"Emily","Leporowska","F","Toronto",21504,10,4,"NO"
"3",3,"Kayla","Deneir","F","Toronto",31998,10,3,"NO"
"4",4,"Alexandra","Schoepflin","F","Calgary",33273,12,4,"YES"
"5",5,"Derek","Barnes","M","Calgary",23789,13,4,"NO"
"6",6,"Neill","Caruso-Kjelsrud","M","Toronto",19164,10,4,"NO"
"7",7,"Brittany","Schwab","F","Montreal",21377,15,3,"NO"
"8",8,"Talan","Fromm","M","Calgary",21097,11,2,"NO"
"9",9,"Hannah","Downs","F","Winnipeg",30711,11,3,"NO"
"10",10,"Paige","Nowland","F","Calgary",30078,13,2,"NO"
"11",11,"John","Chrisman","M","Montreal",24063,13,1,"NO"
"12",12,"Tyler","Henry","F","Toronto",24099,11,3,"NO"
"13",13,"Stephanie","Broaddus","F","Victoria",33938,10,3,"NO"
"14",14,"Carissa","Pacarar","F","Toronto",30331,11,3,"NO"
"15",15,"Joseph","Hudspeth","M","Winnipeg",33531,17,3,"YES"
"16",16,"Samantha","Coleman","F","Victoria",34849,10,3,"NO"
"17",17,"Chloe","Amidon","F","Winnipeg",19940,10,2,"NO"
"18",18,"Garrett","Nowkhandan","M","Victoria",28168,10,5,"YES"
"19",19,"Alexandra","Ward","F","Ottawa",33781,10,3,"NO"
"20",20,"Samantha","Staley","F","Ottawa",40643,16,1,"NO"
"21",21,"Maleah","Kettler","F","Vancouver",34133,11,2,"NO"
"22",22,"Cody","Russell","M","Vancouver",30157,15,2,"NO"
"23",23,"Heath","Beaudry","M","Ottawa",37938,15,4,"YES"
"24",24,"Summer","Sloan","F","Vancouver",46509,10,3,"YES"
"25",25,"Joshua","Demoney","M","Calgary",40509,12,4,"NO"
"26",26,"Zoe","Walby","F","Edmonton",48960,15,5,"YES"
"27",27,"Christine","Persinger","F","Calgary",22913,11,2,"NO"
"28",28,"Shayne","King","M","Winnipeg",15407,10,3,"NO"
"29",29,"Landon","Grett","M","Edmonton",67403,13,3,"YES"
"30",30,"Rachel","Hollingsworth","F","Vancouver",24902,12,4,"YES"
"31",31,"Emma","Carlson","F","Victoria",29858,10,3,"NO"
